acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,focus_lv, chill_lv,workout_lv,party_lv,pred,id,name
380,0.3979999999999999,0.746,145519,0.441,0.0331,11,0.099,-12.226,0,0.152,159.967,4,0.145,0,0,0,0,1,1uXlowVZrcFZmoQp51s6Jn,Inner Peace
384,0.82,0.7340000000000001,122958,0.375,6.94e-06,1,0.0922,-11.634,1,0.22,160.12,4,0.183,0,0,0,0,1,4LSpymRfVMIZ5CEhDB4cd0,Hopeless
385,0.475,0.8490000000000001,192561,0.397,0.0,1,0.111,-11.335,0,0.0734,128.988,4,0.144,0,0,0,0,1,2NYiHWdioLx4lg7iaXqpPL,ghostboy.
386,0.485,0.497,162083,0.602,0.000274,3,0.119,-7.569,1,0.0562,149.013,4,0.1969999999999999,0,0,0,0,1,4FU186jmVxCSszXsCR9RNG,Scared for You
387,0.136,0.79,243042,0.291,0.0063799999999999,5,0.109,-12.113,1,0.115,157.997,4,0.3,0,0,0,0,1,05SnTFcfGkYCh91CXtFuXH,Bupropion
388,0.4039999999999999,0.711,217182,0.545,0.0,11,0.122,-6.81,1,0.0322,216.04,4,0.345,0,0,0,0,1,5FkOlv0W1nBqs3mgbksZa4,whatever it takes
391,0.562,0.8740000000000001,157971,0.441,0.00807,1,0.0869,-6.872000000000001,1,0.178,158.06,4,0.401,0,0,0,0,1,7mT6wRpRb2PclXKxYKlJYg,The Renegade Never Dies
412,0.0983,0.38,207853,0.351,6.07e-06,2,0.104,-11.457,1,0.0417,159.68200000000002,3,0.0765,0,0,0,0,1,1xlaWUPFucajS03TqeMXPA,Catastrophe
424,0.843,0.7859999999999999,133407,0.34,0.0,8,0.106,-13.642,1,0.452,147.996,3,0.294,0,0,0,0,1,2sYIV6KBonwGhNlHSnMClb,Blow My Phone Up
434,0.203,0.664,251078,0.372,0.0,5,0.11,-10.904000000000002,0,0.0362,130.017,4,0.188,0,0,0,0,1,7hU22Yugpd1gKl7mY0rTJS,Lockdown
436,0.899,0.308,181951,0.238,0.000312,11,0.11,-15.63,0,0.0816,127.174,5,0.152,0,0,0,0,1,5mOMcaRWBDMyvP5FWnaJo1,The Feeling Of Loneliness Never Goes Away (Prod. Wakizashi)
438,0.8340000000000001,0.584,144065,0.485,1.4300000000000002e-05,0,0.109,-10.937,1,0.0418,120.046,4,0.0339,0,0,0,0,1,6KvrhWpmvGEhq3BmqDZ4no,00101111 01001101 01001001 01000001
443,0.802,0.49,236852,0.501,0.0101,2,0.1989999999999999,-11.166,0,0.0384,150.0,4,0.113,0,0,0,0,1,6fxzo73tsRdeUeKADrAZmf,Ink Spills Words
444,0.8220000000000001,0.778,58131,0.114,0.0557,4,0.366,-9.346,0,0.124,130.04,3,0.42,0,0,0,0,1,4Siofc56HND5v7lChtF6wk,SAVE HER!
451,0.892,0.6970000000000001,163109,0.354,2.48e-06,5,0.0539,-15.064,1,0.206,156.014,4,0.575,0,0,1,1,1,3p8iG863bPsafyReUXaqXO,Breakfast With the Moon
453,0.731,0.726,173333,0.431,0.0,8,0.696,-8.765,0,0.135,144.026,4,0.348,0,0,0,0,1,765PjNKQQuXJO4CWAKWewQ,Death Bed
455,0.931,0.652,224000,0.483,0.0,6,0.0959,-8.92,1,0.246,156.534,4,0.469,0,0,0,0,1,3UYn4qdsgnQlbOgYiVIyYJ,Scars on My Heart
456,0.5770000000000001,0.5429999999999999,282307,0.268,0.0007019999999999,11,0.286,-17.464000000000002,0,0.0862,174.018,4,0.118,0,0,0,0,1,5e8DUgWO5Zt96FN66VTyoo,Sorry I Never Apologized
465,0.385,0.61,193772,0.504,1.6800000000000002e-05,0,0.1639999999999999,-8.857999999999999,0,0.0481,150.001,4,0.371,0,0,0,0,1,4PoHU9mRuDPvwDKuhzzpn8,Forget It
466,0.528,0.721,151875,0.395,0.0,4,0.13,-13.699000000000002,1,0.0623,128.084,4,0.376,0,0,0,0,1,2HqFgSoYXrUqJr4Dg3vAYN,Walk on Me
468,0.182,0.451,243721,0.488,0.0,9,0.074,-8.21,1,0.0395,130.101,4,0.246,0,0,0,0,1,1aEK61JJWSg4Tvw71s5dU8,Give You Up
469,0.259,0.643,209797,0.573,0.0,9,0.0746,-9.093,1,0.0354,120.033,4,0.0398,0,0,0,0,1,4nHsQ4S2gIrSJMitQ2y05d,Lite Brite
470,0.158,0.6990000000000001,152293,0.472,0.0073799999999999,5,0.275,-9.475,0,0.0357,128.035,3,0.354,0,0,0,0,1,3nl9QUuOHqDwFuqavpC7EB,Breathe
478,0.2019999999999999,0.5429999999999999,154286,0.496,0.0598,11,0.1009999999999999,-9.718,1,0.0358,140.035,4,0.16,0,0,0,0,1,1dixBgLyv5m5iZbnix91Wu,Foreign Banz
485,0.7490000000000001,0.649,274159,0.654,3.13e-05,1,0.0975,-7.653,0,0.0342,121.999,4,0.175,0,0,0,0,1,5SQ74riVYsYQLQ2IuyyIWE,Overflow
487,0.3429999999999999,0.37,201250,0.43,7.049999999999999e-05,5,0.358,-11.158,0,0.119,173.58,4,0.173,0,0,0,0,1,4piT16HA6X6YGBZ8QE7EyR,World Falls Apart
502,0.142,0.682,188676,0.629,0.0,6,0.0881,-6.073,1,0.0252,116.932,4,0.225,0,0,0,0,1,2I3pcpsJQlMxgrgRL6hGcW,Autumn Collection
507,0.231,0.313,190694,0.381,0.0,3,0.107,-8.818999999999999,0,0.0695,177.018,1,0.103,0,0,0,0,1,4MCJAWLCv4kpZp1EpFdFHn,AngelDust
508,0.223,0.45,129730,0.332,0.0145,0,0.113,-11.524,1,0.0355,119.914,4,0.0636,0,0,0,0,1,3ND82YO0h3Q35zQks4OhY1,Reflection
511,0.176,0.787,270322,0.406,0.0,11,0.0861,-10.962,0,0.0461,114.012,4,0.146,0,0,0,0,1,0Xfaw3CcpLphgkTLiCs2FP,This Again
514,0.511,0.362,125231,0.489,0.0,8,0.1009999999999999,-8.371,1,0.044,135.379,3,0.0384,0,0,0,0,1,6Ex03oPLDLiE5Ha5Di1UPY,"Everything Will Be Fine, I Promise"
516,0.367,0.618,128004,0.6579999999999999,1.03e-06,10,0.1009999999999999,-6.871,0,0.0404,150.05,4,0.214,0,0,0,0,1,5oBeMprYCAa0GPpT540dtg,See Me Trying
518,0.275,0.389,223412,0.5589999999999999,0.000389,4,0.0929,-9.53,0,0.126,155.736,4,0.0686,0,0,0,0,1,1npAUoLKDnpqpjyDDHmI1j,Headphones
519,0.591,0.679,240000,0.349,0.0876,5,0.111,-11.2,0,0.0351,124.999,4,0.147,0,0,0,0,1,7JGhHaQilH9EVKSBr7BI9Y,Face It
522,0.807,0.2189999999999999,132764,0.573,0.0,1,0.0341,-4.473,1,0.0381,156.808,4,0.0653,0,0,0,0,1,3SizrrFvfc0nrJZtcPGoXD,Skin
525,0.731,0.531,142795,0.7020000000000001,0.125,9,0.218,-2.977,1,0.0453,127.632,4,0.0906,0,0,0,0,1,4LrJwoFKoF3QLNaLo57PiH,Teeth (Interlude)
528,0.546,0.597,148000,0.364,0.0,3,0.0713,-8.019,0,0.0348,180.172,4,0.262,0,0,0,0,1,1j5WbLr7xBlMfXPDI7Y2gD,Labyrinth
531,0.0649,0.6679999999999999,126159,0.3229999999999999,2.27e-05,11,0.13,-13.591,0,0.0471,160.018,1,0.217,0,0,0,0,1,2E8kB4pt1CEWJKR6A2miDv,Silencethefeelings
538,0.283,0.379,159007,0.4679999999999999,4e-05,9,0.109,-8.998,1,0.0843,195.6,5,0.0331,0,0,0,0,1,0IkLMN8d1HQcpbvskhz6f3,Xanny Bars 222
542,0.5379999999999999,0.773,96000,0.286,0.00195,8,0.172,-13.964,1,0.0493,119.986,4,0.67,0,0,0,0,1,3NSRowkfL0rYE8S6dfT2G0,Whitley
546,0.7120000000000001,0.8420000000000001,175357,0.39,0.0,8,0.103,-10.964,1,0.14,114.988,4,0.0936,0,0,0,0,1,0YH1lviXVYkyMXyoHAkUvw,If I Miss You
553,0.372,0.216,190038,0.476,0.174,8,0.0719,-9.702,1,0.0589,199.902,4,0.0596,0,0,0,0,1,22gKxX5eloBO6mPV9Bm77D,EverythingJustHurts
568,0.379,0.6609999999999999,277363,0.679,0.000184,2,0.4429999999999999,-8.89,1,0.0535,212.02,4,0.444,0,0,0,0,1,1UCuEDGXijy1FFjXuzqwh2,IKnowI'mNotAHero
581,0.295,0.482,179069,0.565,0.074,1,0.262,-12.028,0,0.0797,145.55,3,0.263,0,0,0,0,1,6i0ckiFqGp46IeshQXPfna,Obsidian
594,0.2289999999999999,0.653,137000,0.581,6.28e-06,1,0.115,-10.909,0,0.0695,167.92,4,0.1159999999999999,0,0,0,0,1,0MGnu06J9SaD1bBv1jtym1,Rocks
600,0.431,0.741,136620,0.4429999999999999,0.0281,0,0.264,-11.998,1,0.0577,199.96400000000003,4,0.652,0,1,0,0,1,6vPrkAg0nmoLBakH5WxBlD,Light Yagami
601,0.742,0.504,156000,0.317,0.285,6,0.4029999999999999,-15.761,0,0.0502,139.774,4,0.115,0,0,0,0,1,6xQv87USoFx2zNmXFht1Wx,Sleep Above the Moon
606,0.645,0.703,106696,0.34,0.0071,7,0.106,-14.309,1,0.209,215.886,4,0.0992,0,0,0,0,1,0Qj2Mf1p69Brx9GVFNRnIT,World Without You
622,0.68,0.644,182079,0.2769999999999999,0.0,0,0.0952,-13.882,1,0.0415,212.022,4,0.423,0,0,0,0,1,6dZEAktWiUtZ47MaNdBk1K,Waste It
627,0.0672,0.636,276000,0.375,8.79e-05,8,0.0995,-10.688,1,0.0402,199.902,4,0.172,0,0,0,0,1,16lqYosee0qHBByTSrIaMi,Heat Death
630,0.0502,0.6940000000000001,146333,0.295,0.0139999999999999,7,0.1969999999999999,-13.403,0,0.0869,148.967,4,0.171,0,0,0,0,1,1IeQIFjQNyHzWrnVtupkk7,TheRoadLessTraveled
637,0.616,0.396,200348,0.376,0.000423,2,0.175,-11.559,0,0.0386,114.972,4,0.0386,0,0,0,0,1,2XhfGLHJ08sNFz56Ii5mab,"I Wander, But I'm Not Lost"
653,0.151,0.763,157153,0.507,0.000691,5,0.16,-11.026,1,0.0443,219.984,4,0.32,0,0,0,0,1,1YMDkf4p153rsj5GVv8fUV,But This Is the End
655,0.265,0.645,184929,0.53,0.308,2,0.107,-8.126,1,0.0768,158.828,4,0.214,0,0,0,0,1,0h6yc10DqfPL1PVbvMfnGt,Entourage
663,0.473,0.575,215968,0.418,0.0,8,0.174,-9.222,0,0.037,119.973,4,0.12,0,0,0,0,1,4jD4TqkDKljwxN1X45A7Ey,When It Rains
664,0.531,0.247,191998,0.584,0.0,0,0.17,-9.882,0,0.0814,179.502,4,0.364,0,0,0,0,1,13T4OUOnOkd8pV2Ib2Eme5,Moves
665,0.546,0.753,155719,0.44,0.0936,9,0.129,-11.133,1,0.0361,160.006,4,0.54,0,0,0,0,1,7m74qHuIiakNg8TPSsJROI,Yellow Pills
667,0.931,0.529,204755,0.42,0.000814,1,0.121,-10.487,0,0.0645,115.576,4,0.265,0,0,0,0,1,54sEkZhIcN4CbELpT67Pyy,I'm Trying
669,0.541,0.639,178487,0.621,3.15e-06,2,0.1969999999999999,-7.631,1,0.04,118.943,4,0.231,0,0,0,0,1,6oRKHTPHtgWZlPLXojjzKD,Cemetery Dreams
673,0.108,0.627,142500,0.44,0.00606,0,0.259,-10.56,1,0.0331,130.007,4,0.0357,0,0,0,0,1,2HwtexFTuQ8cTmoZvQApZZ,Someone Protects Her (Prod. By Falls)
677,0.455,0.631,115125,0.456,2.81e-06,0,0.201,-10.906,0,0.162,159.994,4,0.299,0,0,0,0,1,6zz8hMLRj12n2EBOvenHew,Ran Thru The Trap
681,0.757,0.677,187246,0.253,0.0,2,0.163,-12.225,1,0.0527,137.99,4,0.118,0,0,0,0,1,6dWd9quiYomJEkNh9HAIPs,Make Me Forget
684,0.386,0.417,116190,0.312,0.0616,4,0.107,-14.325,1,0.036,125.406,4,0.1,1,0,0,0,1,7xBhFQIxqo0gch9Bxw02uA,No One Knows You
692,0.87,0.6759999999999999,116236,0.136,0.114,10,0.0962,-16.49,0,0.049,207.89,4,0.3329999999999999,0,0,0,0,1,7mZUlWXQg0nhIjtlwxS8zY,lose
693,0.411,0.8320000000000001,227260,0.316,6.59e-05,9,0.258,-15.258,1,0.063,116.973,4,0.3289999999999999,0,0,0,0,1,18aImFRizYHe2MwD5EDWZh,Numb
697,0.69,0.706,141500,0.482,0.0786,11,0.0958,-12.054,0,0.0428,121.968,4,0.316,0,0,0,0,1,1SKxGSaKBclGpI9Og6llBS,PuttingMyBestFootForward
699,0.6890000000000001,0.6509999999999999,149980,0.5760000000000001,0.00847,9,0.109,-8.536,0,0.0293,125.028,4,0.36,0,0,0,0,1,0w5h7TEUlPdi4n8F6UYUvJ,Spirited_Away
700,0.825,0.524,202450,0.408,0.0002189999999999,4,0.1,-13.989,0,0.0778,192.175,4,0.23,0,0,0,0,1,73pxzIThh3yz0mpDyHrMiQ,Fall
709,0.638,0.7709999999999999,169050,0.579,0.0,1,0.141,-8.318,0,0.226,115.051,4,0.196,0,0,0,0,1,6vb8J3BY7cDSkfkReeEGFc,Diamonds
710,0.627,0.626,195926,0.616,0.0,9,0.1939999999999999,-8.204,1,0.293,162.029,4,0.297,0,0,0,0,1,61MqARMpqkrMjVAqi6p3b3,Blood
712,0.0454,0.5720000000000001,141611,0.537,0.000664,1,0.088,-11.379,1,0.0315,189.928,3,0.34,0,0,0,0,1,0Rfl8EzU24zzfdFhZtBYrb,Hell and Back
713,0.373,0.56,188781,0.5760000000000001,1.07e-05,9,0.503,-4.555,0,0.0269,164.02,4,0.177,0,0,0,0,1,4qRSms2jxKryXFAAutaVHE,Losing Sight
718,0.916,0.698,182080,0.2289999999999999,2.09e-06,1,0.0951,-16.307000000000002,0,0.0779,115.993,4,0.136,0,0,0,0,1,0bm75szrFJoitL1eaozE8U,Doesithurttoloveme?
719,0.367,0.7240000000000001,142238,0.489,0.00141,6,0.196,-8.702,1,0.177,161.928,4,0.377,0,0,0,0,1,3SHTDx3mTHlFZ5Z3zBEkfj,Red Rose
727,0.00332,0.487,145582,0.8140000000000001,0.251,7,0.0816,-6.028,1,0.0293,159.942,4,0.49,0,0,0,0,1,61wOkYtKm5AwDbIhl05W0C,You.Won't.Do.Shit
728,0.211,0.604,184268,0.5329999999999999,0.000258,10,0.0838,-11.515999999999998,0,0.0324,116.0,4,0.156,0,0,0,0,1,3GART8MYCPtjtUnGRrwN68,Black Fingernails
730,0.212,0.597,172138,0.606,0.0001199999999999,6,0.2,-11.292,0,0.0737,144.959,4,0.208,0,0,0,0,1,0UlAJtEr9WllQS2lZ45bTg,Worth It
733,0.131,0.687,174243,0.645,3.9e-05,6,0.1159999999999999,-7.319,1,0.0282,134.047,4,0.249,0,0,0,0,1,3Mr7KgAZdL7XRHWrgt40hA,room to breathe
735,0.83,0.472,224855,0.557,0.0,10,0.238,-12.449000000000002,0,0.336,189.944,4,0.5760000000000001,0,0,0,0,1,35E5QxBH5fkMESYtFWNuTI,Stars in the Sky
738,0.284,0.6509999999999999,153913,0.268,0.0,11,0.201,-18.461,1,0.215,156.10299999999998,4,0.416,0,0,0,0,1,16FNXZlusZZEUYTdFvtqsE,CoverGirl
741,0.626,0.544,187000,0.446,5.7100000000000006e-05,10,0.136,-9.957,0,0.0861,164.93,4,0.0891,0,0,0,0,1,46ZvHWCyLC3DBYTkarOPyy,Morrissey
742,0.616,0.7040000000000001,176000,0.412,0.0222,4,0.108,-9.118,1,0.0403,120.088,4,0.0385,0,0,0,0,1,1DQnCRSWCDkeGN81FEStxs,Sadboy
743,0.1969999999999999,0.619,234684,0.498,0.759,0,0.276,-10.43,1,0.0359,125.035,4,0.171,0,1,0,0,1,5OJmo8rtKDDSFEN046e2G4,Light Leaking Through
744,0.682,0.703,160000,0.68,0.409,6,0.12,-6.608,0,0.0277,137.946,4,0.108,0,0,0,0,1,2gKgIBiXAcnCp7kuX9YJkb,Laying in the Dirt
746,0.649,0.706,204187,0.4479999999999999,0.0,2,0.0565,-12.622,0,0.266,173.952,4,0.185,0,0,0,0,1,57qPGsMySDQJSeFQdrtsSi,Tonight
756,0.106,0.665,160543,0.387,0.0452,1,0.108,-15.4,0,0.0327,130.015,4,0.0754,0,0,0,0,1,7jFc1QwCEpayGCzJy6Mv8O,When I Dream I See Her Ghost
760,0.174,0.612,165957,0.578,0.0486,4,0.127,-9.667,0,0.113,162.003,4,0.204,0,0,0,0,1,4vm5ZIRpugaseYj3SciXI0,You Made Me sO Happy
761,0.342,0.5760000000000001,249863,0.578,0.073,11,0.0992,-9.22,1,0.0364,146.04,4,0.325,0,0,0,0,1,6KnwzTYIu1cIUEOEO6chqK,Repeat
765,0.52,0.7090000000000001,225843,0.308,1.58e-05,8,0.1,-11.279000000000002,1,0.0584,163.031,4,0.444,0,0,0,0,1,1ddaM9zXnDp8IlbjMIvdVG,What?
768,0.295,0.7040000000000001,232574,0.593,0.0,9,0.151,-8.977,1,0.0487,117.246,4,0.0395,0,0,0,0,1,0mbiOEQYiwwrSxHDfRfgAX,Rabbit Hole
772,0.5489999999999999,0.6459999999999999,220541,0.371,0.0,11,0.115,-13.79,0,0.0785,140.108,4,0.135,0,0,0,0,1,2UYDzP1UfvttrwsYkL7nnO,I'm Not Coming Home
777,0.366,0.721,190198,0.283,0.0,0,0.238,-13.802,0,0.191,150.002,4,0.341,0,0,0,0,1,0QzzRf6DfVgDJ9HlJVC4AP,Hurtboy$
786,0.259,0.878,218024,0.335,3.09e-05,1,0.098,-11.304,1,0.203,111.073,4,0.106,0,0,0,0,1,7pSa0lr0z4W40u3MmjMEmV,So Low
788,0.59,0.765,157851,0.494,0.000138,10,0.104,-10.889,1,0.113,200.038,4,0.184,0,0,0,0,1,35PeCuLmcnC8o2wG1yUXh8,I
790,0.434,0.743,176000,0.49,0.0464,1,0.201,-7.64,0,0.259,179.938,4,0.451,0,0,0,0,1,1XT9ve5aJap36XXcJf3sLP,Dead Inside.
792,0.659,0.6679999999999999,179201,0.4579999999999999,0.000105,4,0.248,-8.725,0,0.0303,149.974,4,0.347,0,0,0,0,1,4g9e5hnElJZSOoJBRLrq1I,these days
797,0.502,0.795,185171,0.4,0.0,1,0.158,-11.962,1,0.207,200.056,4,0.196,0,0,0,0,1,0KphQ9U5ss7war2Aajt0zL,work ethic from pain
803,0.0241,0.743,151742,0.311,0.0,1,0.1939999999999999,-12.408,0,0.0521,155.014,4,0.2,0,1,0,0,1,4bSgEY5J0eeATgLirAPcjN,Waste My Time
812,0.331,0.441,213187,0.5329999999999999,0.000627,6,0.5770000000000001,-8.517000000000001,1,0.118,177.78599999999997,4,0.24,0,0,0,0,1,5ATUyBX4im2FfCwV6dHxUo,she was my virginity cømplex
814,0.583,0.5760000000000001,157309,0.2289999999999999,1.58e-05,10,0.111,-13.729,1,0.0892,124.074,3,0.108,0,0,0,0,1,3L2oBr8CZCp6HIQUfYu4kc,Slither
822,0.7659999999999999,0.638,170447,0.391,0.295,5,0.15,-14.969,1,0.1,160.016,4,0.487,0,0,0,0,1,6ZFu9Gmrc1ap082bmvYSer,For X and Peep
825,0.701,0.642,117447,0.457,0.000403,8,0.124,-14.07,1,0.108,186.036,4,0.2689999999999999,0,0,0,0,1,4uBVDI3kz480XYr3S84R3s,Don't Vanish
830,0.509,0.708,144024,0.263,0.5579999999999999,1,0.1369999999999999,-16.257,1,0.0608,120.049,4,0.0397,0,0,0,0,1,3PicUYECM1NXJmR9prw0MF,50
832,0.579,0.5720000000000001,154501,0.414,0.0,5,0.201,-8.57,1,0.0537,141.08,4,0.276,1,0,0,0,1,1gUDiLgQPGCbv0xzKHpgkt,No More (Unfair)
838,0.211,0.662,140643,0.4679999999999999,1.44e-05,6,0.107,-14.143,0,0.053,164.968,4,0.258,0,0,0,0,1,5qb9eleLHyIr7p2IBr9qCo,Sacrifice </3
